0,1,2,3,4,5
S.No,Category,Event,Day,Time,Venue
1,Dance,Dancing Star – Western Solo Prelims,06.02.2026,10:00 - 13:00,U Block Centre stage
2,Dance,Classical Dance Solo,06.02.2026,11:00 - 14:00,"Sangamam Seminar Hall, A Block V Floor"
3,Dance,Dancing Star – Western Solo Finals,06.02.2026,14:00 - 15:00,U Block Centre stage
,Dance,Group Dance (10 no.),07.02.2026,09:00 - 13:00,Convocation Hall
,Dance,Dancing Jodi – Western Duo,07.02.2026,13:00 - 15:00,U Block Centre stage
,Dance,Spot Dance - Jodi,07.02.2026,16:00 - 17:30,Convocation Hall
,Dance Workshop,Contemporary Movement & Identity Lab by French Artist - Ms. Paulene,06.02.2026,14:30 - 17:30,MHP
,Digital Storytelling & Creative Media,Short film (Offline Entries - Prelims),05.02.2026,09:00 - 16:00,AGF - 04
,Digital Storytelling & Creative Media,Short Film - Finals,06.02.2026,09:00 - 12:00,"Sanghamitra Hall, N Block II Floor"
,Digital Storytelling & Creative Media,Mahotsav Digital Chronicle Challenge - Participaint Reporting,06.02.2026,10:00 - 11:00,NB 314
,Digital Storytelling & Creative Media,Chit Chat with Champion movie Director Mr. Pradeep Advaitham,06.02.2026,12:00 - 13:00,"Sanghamitra Hall, N Block II Floor"
,Digital Storytelling & Creative Media,Digital Poster Competition - Online,07.02.2026,10:00 - 11:00,NB 314
,Digital Storytelling & Creative Media,Life in a Minute - Online - 4 no,07.02.2026,11:00 - 12:00,NB 314
,Digital Storytelling & Creative Media,Theme Photography - Online,07.02.2026,12:00 - 13:00,NB 314
,Digital Storytelling & Creative Media,Mahotsav Digital Chronicle Challenge,07.02.2026,13:00 - 16:00,NB 314
,Dramatics ,Skit (8 no.),06.02.2026,10:00 - 13:00,Convocation Hall
,Dramatics ,Dialogue Dhamakha,06.02.2026,15:00 - 17:00,"Sanghamitra Hall, N Block II Floor"
,Dramatics ,Mono Action,07.02.2026,09:00 - 11:00,"Sanghamitra Hall, N Block II Floor"
,Dramatics ,On the Spot Ad making,07.02.2026,11:00 - 13:00,"Sanghamitra Hall, N Block II Floor"
,Dramatics ,Mime (6 no.),07.02.2026,14:00 - 16:00,"Sanghamitra Hall, N Block II Floor"
,Fashion Design & Styling,Texart (Fashion sketching),06.02.2026,10:00 - 13:00,N Block - 203
,Fashion Design & Styling Workshop,"Draping Stories: One Fabric, Infinite Forms by Mr. Sourav Das",06.02.2026,10:00 - 13:00,MHP
,Fashion Design & Styling,Haute Couture - Theme Ramp walk (12 no.),06.02.2026,17:00 - 19:00,Convocation Hall
,Fashion Design & Styling,T-Shirt designing,07.02.2026,09:00 - 11:00,H Block VGF 09
,Fashion Design & Styling,Craft villa ( Accessory design),07.02.2026,13:00 - 15:00,N Block - 203
,Gaming,eFootball (PC) (3 no),06.02.2026,10:00 - 13:00 ,"NB 611,NB 612"
,Gaming,Smash Karts (PC) (solo),06.02.2026,10:00 - 13:00 ,"NB 613,NB 615,NB 616,NB 617"
,Gaming,VALORANT (PC) (5 no),06.02.2026,14:00 - 17:00,"NB 611,NB 612 "
,Gaming,Counter Strike (PC) (5 no),07.02.2026,10:00 - 14:00,"NB 613,NB 615"
,Literature,Master Orator Round I,06.02.2026,10:00 - 13:00,NTR Vignan Library - III Floor
,Literature,Telugu Vyaasa rachana,06.02.2026,10:00 - 13:00,"Samskruthi Seminar Hall, A Block Ground Floor"
,Literature,Shayari – Hindi,06.02.2026,12:00 - 14:00,NTR Vignan Library - III Floor
,Literature,Spot Creative writing,06.02.2026,14:00 - 16:00,"Samskruthi Seminar Hall, A Block Ground Floor"
,Literature,Master Orator Round II,06.02.2026,14:00 - 16:00,NTR Vignan Library - III Floor
,Literature,Quiz wiz (3 no.) Round I,06.02.2026,16:00 - 18:00,"Samskruthi Seminar Hall, A Block Ground Floor"
,Literature,Dumb charades (2 no.),06.02.2026,16:00 - 18:00,NTR Vignan Library - III Floor
,Literature,Word Master Round I & II,07.02.2026,09:00 - 12:00,N Block - 201
,Literature,Story telling,07.02.2026,09:00 - 12:00,NTR Vignan Library - III Floor
,Literature,Quiz wiz (3 no.) Round II & III,07.02.2026,10:00 - 13:00,"Samskruthi Seminar Hall, A Block Ground Floor"
,Literature,Word Master Round III & IV,07.02.2026,14:00 - 16:00,N Block - 201
,Literature,Impromptu (JAM),07.02.2026,14:00 - 16:00,NTR Vignan Library - III Floor
,Music,Singing Idol Round I,06.02.2026,10:00 - 13:00,"Sa Re Ga Ma Hall, N Block I Floor"
,Music,Group Singing,06.02.2026,13:30 - 15:30,Convocation Hall
,Music,Singing Jodi,06.02.2026,16:00 - 18:00,"Sa Re Ga Ma Hall, N Block I Floor"
,Music,Singing Idol Round II,06.02.2026,17:00 - 18:30,"Sanghamitra Hall, N Block II Floor"
,Music,Singing Idol Round III,06.02.2026,18:30 - 20:00,"Sanghamitra Hall, N Block II Floor"
,Music,Classical/Light Vocal Solo,07.02.2026,09:00 - 11:00,"Sa Re Ga Ma Hall, N Block I Floor"
,Music,Classical / Western Instrumental Solo,07.02.2026,11:00 - 13:00,"Sa Re Ga Ma Hall, N Block I Floor"
,Music,Anthyakshari Duo,07.02.2026,11:00 - 14:00,N Block - 210
,Music,Singing Idol Round IV,07.02.2026,14:00 - 15:00,Convocation Hall
,Music,Western Vocal Solo Prelims,07.02.2026,14:00 - 15:30,"Sa Re Ga Ma Hall, N Block I Floor"
,Music,Western Vocal Solo Finals,07.02.2026,15:30 - 16:30,"Sa Re Ga Ma Hall, N Block I Floor"
,Music Workshop,Cultural Soundscape Lab: From Folk to Future by Mr. Arun Sivag,07.02.2026,10:00 - 13:00,MHP
,Spot Light,Mr. & Ms. Mahotsav Round I,06.02.2026,10:00 - 11:00,N Block - 202
,Spot Light,Mahotsav Got Talent Elimination round,06.02.2026,14:00 - 16:00,"Sangamam Seminar Hall, A Block V Floor"
,Spot Light,Mr. & Ms. Mahotsav Round II,06.02.2026,15:00 - 17:00,U Block Centre Stage
,Spot Light,Mr. & Ms. Mahotsav Round III,07.02.2026,10:00 - 11:00,U Block Centre Stage
,Spot Light,Mahotsav Got Talent Finals,07.02.2026,15:00 - 16:00,Convocation Hall
,Techno Sports & Races ,Bot Wrestling(4 no),06.02.2026,10:00 - 13:00,N Block Ground floor Open Air
,Techno Sports & Races ,Robo Races(4 no),07.02.2026,09:00 - 12:00,N Block Ground floor Open Air
,Techno Sports & Races ,Line Follower Challenge(4 no),07.02.2026,14:00 - 16:00 ,N Block Ground floor Open Air
